Size:1853	TP:1299	FN:554	Accuracy:70.1%
Least:697	0.47
Most:1099	0.90
Line	Similarity	Pair
0	0.84	YES
1	0.70	YES
2	0.61	NO
3	0.76	YES
4	0.82	YES
5	0.81	YES
6	0.77	YES
7	0.73	YES
8	0.74	YES
9	0.58	NO
10	0.71	YES
11	0.71	YES
12	0.69	NO
13	0.72	YES
14	0.75	YES
15	0.76	YES
16	0.68	NO
17	0.78	YES
18	0.78	YES
19	0.79	YES
20	0.79	YES
21	0.79	YES
22	0.69	NO
23	0.69	NO
24	0.77	YES
25	0.70	YES
26	0.77	YES
27	0.72	YES
28	0.75	YES
29	0.73	YES
30	0.71	YES
31	0.84	YES
32	0.79	YES
33	0.74	YES
34	0.75	YES
35	0.72	YES
36	0.82	YES
37	0.79	YES
38	0.69	NO
39	0.73	YES
40	0.72	YES
41	0.79	YES
42	0.66	NO
43	0.79	YES
44	0.78	YES
45	0.73	YES
46	0.78	YES
47	0.83	YES
48	0.77	YES
49	0.64	NO
50	0.51	NO
51	0.65	NO
52	0.72	YES
53	0.82	YES
54	0.74	YES
55	0.75	YES
56	0.75	YES
57	0.70	NO
58	0.77	YES
59	0.80	YES
60	0.68	NO
61	0.72	YES
62	0.83	YES
63	0.65	NO
64	0.79	YES
65	0.79	YES
66	0.69	NO
67	0.62	NO
68	0.83	YES
69	0.84	YES
70	0.77	YES
71	0.75	YES
72	0.61	NO
73	0.67	NO
74	0.73	YES
75	0.66	NO
76	0.80	YES
77	0.69	NO
78	0.75	YES
79	0.73	YES
80	0.80	YES
81	0.76	YES
82	0.79	YES
83	0.61	NO
84	0.59	NO
85	0.65	NO
86	0.69	NO
87	0.70	YES
88	0.80	YES
89	0.67	NO
90	0.64	NO
91	0.71	YES
92	0.68	NO
93	0.59	NO
94	0.75	YES
95	0.56	NO
96	0.72	YES
97	0.70	YES
98	0.77	YES
99	0.77	YES
100	0.70	YES
101	0.75	YES
102	0.73	YES
103	0.62	NO
104	0.76	YES
105	0.79	YES
106	0.59	NO
107	0.80	YES
108	0.65	NO
109	0.83	YES
110	0.74	YES
111	0.68	NO
112	0.72	YES
113	0.84	YES
114	0.62	NO
115	0.74	YES
116	0.64	NO
117	0.73	YES
118	0.80	YES
119	0.64	NO
120	0.69	NO
121	0.72	YES
122	0.69	NO
123	0.63	NO
124	0.60	NO
125	0.73	YES
126	0.77	YES
127	0.81	YES
128	0.62	NO
129	0.64	NO
130	0.73	YES
131	0.65	NO
132	0.80	YES
133	0.65	NO
134	0.75	YES
135	0.79	YES
136	0.85	YES
137	0.78	YES
138	0.64	NO
139	0.72	YES
140	0.60	NO
141	0.76	YES
142	0.70	YES
143	0.62	NO
144	0.76	YES
145	0.65	NO
146	0.88	YES
147	0.65	NO
148	0.72	YES
149	0.72	YES
150	0.63	NO
151	0.61	NO
152	0.81	YES
153	0.77	YES
154	0.84	YES
155	0.82	YES
156	0.84	YES
157	0.73	YES
158	0.74	YES
159	0.77	YES
160	0.72	YES
161	0.65	NO
162	0.66	NO
163	0.61	NO
164	0.63	NO
165	0.68	NO
166	0.70	NO
167	0.74	YES
168	0.76	YES
169	0.61	NO
170	0.48	NO
171	0.79	YES
172	0.75	YES
173	0.75	YES
174	0.81	YES
175	0.80	YES
176	0.72	YES
177	0.69	NO
178	0.80	YES
179	0.85	YES
180	0.60	NO
181	0.78	YES
182	0.86	YES
183	0.77	YES
184	0.74	YES
185	0.65	NO
186	0.64	NO
187	0.76	YES
188	0.66	NO
189	0.69	NO
190	0.66	NO
191	0.77	YES
192	0.66	NO
193	0.74	YES
194	0.83	YES
195	0.64	NO
196	0.63	NO
197	0.77	YES
198	0.75	YES
199	0.68	NO
