Size:1853	TN:1853	FP:0	Accuracy:100.0%
Least:353	751	0.39
Most:783	853	0.69
Line_en	Line_zh	Similarity	Pair
	579	200	0.54	NO
	1451	360	0.55	NO
	1067	1361	0.47	NO
	737	961	0.52	NO
	1291	995	0.60	NO
	954	1671	0.54	NO
	648	1535	0.58	NO
	1027	108	0.54	NO
	287	300	0.54	NO
	270	951	0.55	NO
	1786	432	0.54	NO
	571	675	0.40	NO
	255	330	0.57	NO
	50	1462	0.47	NO
	277	944	0.56	NO
	554	1566	0.57	NO
	35	1783	0.58	NO
	1762	1834	0.52	NO
	597	1091	0.56	NO
	1523	1202	0.56	NO
	342	96	0.48	NO
	454	295	0.49	NO
	76	411	0.51	NO
	169	1842	0.60	NO
	714	1830	0.59	NO
	936	1768	0.54	NO
	1560	301	0.55	NO
	122	218	0.46	NO
	45	687	0.52	NO
	1798	1347	0.51	NO
	1535	107	0.55	NO
	645	822	0.52	NO
	1735	1258	0.55	NO
	856	1628	0.54	NO
	558	382	0.56	NO
	1103	1303	0.50	NO
	863	777	0.57	NO
	359	1555	0.58	NO
	673	1522	0.51	NO
	871	1599	0.54	NO
	843	1138	0.53	NO
	1058	422	0.49	NO
	1311	882	0.52	NO
	1643	1301	0.48	NO
	1501	622	0.55	NO
	107	1138	0.43	NO
	705	1776	0.49	NO
	482	509	0.55	NO
	1841	426	0.50	NO
	716	1123	0.47	NO
	1720	1588	0.53	NO
	1187	294	0.49	NO
	346	759	0.48	NO
	646	270	0.59	NO
	1711	1027	0.53	NO
	422	1229	0.46	NO
	748	110	0.60	NO
	1015	1390	0.48	NO
	189	617	0.48	NO
	660	1515	0.48	NO
	396	1231	0.58	NO
	1470	54	0.56	NO
	1199	423	0.52	NO
	1224	460	0.57	NO
	1742	937	0.53	NO
	284	473	0.58	NO
	1655	1347	0.53	NO
	1389	865	0.50	NO
	286	1360	0.62	NO
	863	1066	0.57	NO
	1023	192	0.56	NO
	245	694	0.40	NO
	760	1167	0.51	NO
	529	650	0.60	NO
	1801	864	0.47	NO
	1456	398	0.50	NO
	1292	1529	0.57	NO
	1804	442	0.57	NO
	49	1391	0.46	NO
	370	107	0.53	NO
	871	1414	0.51	NO
	1537	413	0.59	NO
	1713	1628	0.51	NO
	1572	312	0.53	NO
	816	1618	0.54	NO
	1646	1219	0.56	NO
	1701	1089	0.54	NO
	54	321	0.52	NO
	988	44	0.55	NO
	405	1387	0.50	NO
	550	1035	0.53	NO
	407	64	0.64	NO
	1105	1431	0.50	NO
	360	305	0.57	NO
	487	46	0.53	NO
	44	849	0.47	NO
	1730	806	0.58	NO
	665	996	0.58	NO
	535	651	0.62	NO
	1223	484	0.50	NO
	1830	913	0.57	NO
	221	1769	0.61	NO
	375	156	0.53	NO
	1724	1486	0.51	NO
	1541	169	0.44	NO
	1426	1120	0.51	NO
	1366	677	0.51	NO
	162	954	0.47	NO
	523	293	0.53	NO
	555	1512	0.55	NO
	1621	718	0.55	NO
	1371	1514	0.40	NO
	1783	912	0.57	NO
	704	1216	0.59	NO
	1735	1330	0.54	NO
	107	826	0.49	NO
	1513	1229	0.55	NO
	125	714	0.46	NO
	1366	1547	0.52	NO
	1608	1492	0.59	NO
	249	871	0.51	NO
	1720	1473	0.54	NO
	262	334	0.58	NO
	769	1527	0.57	NO
	523	1650	0.52	NO
	1634	724	0.48	NO
	139	231	0.46	NO
	1724	1694	0.46	NO
	1846	1167	0.60	NO
	1393	546	0.50	NO
	1036	338	0.50	NO
	85	350	0.50	NO
	58	529	0.53	NO
	1462	1665	0.54	NO
	1809	734	0.53	NO
	639	1540	0.51	NO
	654	225	0.53	NO
	978	1259	0.49	NO
	881	1217	0.49	NO
	1300	1670	0.56	NO
	1672	1088	0.48	NO
	1753	1173	0.63	NO
	627	25	0.58	NO
	1009	1166	0.56	NO
	1621	106	0.57	NO
	1008	1619	0.52	NO
	1075	1707	0.48	NO
	417	1535	0.59	NO
	211	1583	0.48	NO
	1846	335	0.55	NO
	1401	701	0.52	NO
	1665	628	0.54	NO
	662	697	0.49	NO
	509	177	0.53	NO
	322	587	0.49	NO
	589	1022	0.58	NO
	591	109	0.52	NO
	686	1604	0.53	NO
	1263	575	0.51	NO
	1557	949	0.51	NO
	1233	547	0.53	NO
	272	1633	0.50	NO
	943	352	0.51	NO
	596	1487	0.48	NO
	1291	958	0.51	NO
	1815	393	0.52	NO
	736	1361	0.47	NO
	1390	755	0.62	NO
