Size:1853	TN:1853	FP:0	Accuracy:100.0%
Least:1720	312	0.38
Most:1105	1081	0.67
Line_en	Line_zh	Similarity	Pair
	675	505	0.44	NO
	911	1270	0.56	NO
	1378	1625	0.55	NO
	447	219	0.55	NO
	1265	1478	0.55	NO
	1021	1109	0.50	NO
	246	1308	0.49	NO
	1062	1285	0.62	NO
	192	592	0.56	NO
	1768	0	0.46	NO
	385	350	0.47	NO
	711	13	0.51	NO
	596	1508	0.57	NO
	1407	735	0.55	NO
	1528	227	0.53	NO
	1201	366	0.54	NO
	1810	593	0.53	NO
	458	74	0.56	NO
	1834	1109	0.45	NO
	1013	469	0.55	NO
	571	776	0.51	NO
	873	1374	0.60	NO
	928	1264	0.47	NO
	913	284	0.57	NO
	1438	575	0.47	NO
	829	1439	0.53	NO
	1558	1224	0.51	NO
	1139	826	0.56	NO
	1730	1385	0.56	NO
	1741	366	0.60	NO
	573	455	0.63	NO
	1724	229	0.55	NO
	143	189	0.50	NO
	1605	1288	0.42	NO
	948	1755	0.50	NO
	108	1693	0.54	NO
	1427	965	0.45	NO
	1391	1028	0.54	NO
	1206	1449	0.56	NO
	1839	1049	0.54	NO
	811	784	0.56	NO
	248	1113	0.56	NO
	1462	480	0.53	NO
	1602	1145	0.66	NO
	392	245	0.57	NO
	224	1004	0.52	NO
	546	443	0.56	NO
	1357	210	0.56	NO
	988	1695	0.41	NO
	1214	900	0.56	NO
	1792	439	0.55	NO
	373	344	0.62	NO
	1794	225	0.55	NO
	1587	933	0.51	NO
	1203	1162	0.41	NO
	1152	1306	0.51	NO
	161	1680	0.51	NO
	410	379	0.53	NO
	120	433	0.55	NO
	403	593	0.54	NO
	395	1352	0.47	NO
	1718	1738	0.52	NO
	985	1073	0.48	NO
	1829	863	0.54	NO
	1556	518	0.52	NO
	274	1535	0.52	NO
	1503	671	0.62	NO
	571	1233	0.59	NO
	1571	1535	0.55	NO
	499	816	0.49	NO
	527	950	0.51	NO
	244	1553	0.44	NO
	642	1462	0.47	NO
	662	574	0.52	NO
	947	27	0.55	NO
	922	1706	0.54	NO
	801	1505	0.48	NO
	1213	1479	0.55	NO
	670	1520	0.52	NO
	677	1513	0.53	NO
	842	1183	0.53	NO
	1050	384	0.55	NO
	1784	1470	0.55	NO
	1849	446	0.53	NO
	638	1214	0.45	NO
	234	1196	0.45	NO
	421	970	0.54	NO
	361	950	0.55	NO
	1797	1429	0.51	NO
	1718	65	0.50	NO
	436	1253	0.56	NO
	456	1741	0.61	NO
	835	178	0.51	NO
	696	136	0.51	NO
	822	26	0.48	NO
	36	1560	0.51	NO
	1356	56	0.46	NO
	1203	990	0.54	NO
	1356	1345	0.52	NO
	468	747	0.60	NO
	861	1024	0.56	NO
	1123	908	0.54	NO
	1054	852	0.52	NO
