Size:1853	TP:1831	FN:22	Accuracy:98.8%
Least:697	0.48
Most:1545	0.97
Line	Similarity	Pair
0	0.90	YES
1	0.85	YES
2	0.74	YES
3	0.87	YES
4	0.88	YES
5	0.87	YES
6	0.86	YES
7	0.87	YES
8	0.82	YES
9	0.67	NO
10	0.93	YES
11	0.83	YES
12	0.81	YES
13	0.89	YES
14	0.86	YES
15	0.88	YES
16	0.86	YES
17	0.82	YES
18	0.89	YES
19	0.90	YES
20	0.89	YES
21	0.84	YES
22	0.86	YES
23	0.93	YES
24	0.90	YES
25	0.88	YES
26	0.88	YES
27	0.83	YES
28	0.92	YES
29	0.91	YES
30	0.84	YES
31	0.92	YES
32	0.86	YES
33	0.86	YES
34	0.90	YES
35	0.91	YES
36	0.94	YES
37	0.75	YES
38	0.80	YES
39	0.89	YES
40	0.93	YES
41	0.92	YES
42	0.78	YES
43	0.90	YES
44	0.88	YES
45	0.89	YES
46	0.88	YES
47	0.90	YES
48	0.86	YES
49	0.79	YES
50	0.91	YES
51	0.79	YES
52	0.91	YES
53	0.81	YES
54	0.89	YES
55	0.86	YES
56	0.87	YES
57	0.78	YES
58	0.83	YES
59	0.89	YES
60	0.85	YES
61	0.74	YES
62	0.90	YES
63	0.90	YES
64	0.90	YES
65	0.89	YES
66	0.86	YES
67	0.89	YES
68	0.93	YES
69	0.85	YES
70	0.87	YES
71	0.79	YES
72	0.74	YES
73	0.76	YES
74	0.93	YES
75	0.87	YES
76	0.85	YES
77	0.88	YES
78	0.78	YES
79	0.90	YES
80	0.85	YES
81	0.88	YES
82	0.88	YES
83	0.89	YES
84	0.87	YES
85	0.82	YES
86	0.89	YES
87	0.86	YES
88	0.88	YES
89	0.79	YES
90	0.84	YES
91	0.82	YES
92	0.77	YES
93	0.75	YES
94	0.90	YES
95	0.77	YES
96	0.84	YES
97	0.87	YES
98	0.84	YES
99	0.86	YES
100	0.86	YES
101	0.89	YES
102	0.80	YES
103	0.82	YES
104	0.88	YES
105	0.86	YES
106	0.86	YES
107	0.88	YES
108	0.86	YES
109	0.91	YES
110	0.90	YES
111	0.85	YES
112	0.89	YES
113	0.92	YES
114	0.85	YES
115	0.91	YES
116	0.82	YES
117	0.90	YES
118	0.84	YES
119	0.93	YES
120	0.87	YES
121	0.84	YES
122	0.87	YES
123	0.88	YES
124	0.76	YES
125	0.86	YES
126	0.86	YES
127	0.89	YES
128	0.85	YES
129	0.88	YES
130	0.92	YES
131	0.83	YES
132	0.89	YES
133	0.84	YES
134	0.82	YES
135	0.92	YES
136	0.92	YES
137	0.89	YES
138	0.89	YES
139	0.78	YES
140	0.82	YES
141	0.85	YES
142	0.82	YES
143	0.81	YES
144	0.86	YES
145	0.78	YES
146	0.92	YES
147	0.76	YES
148	0.86	YES
149	0.86	YES
150	0.88	YES
151	0.77	YES
152	0.91	YES
153	0.91	YES
154	0.89	YES
155	0.88	YES
156	0.91	YES
157	0.83	YES
158	0.84	YES
159	0.93	YES
160	0.88	YES
161	0.81	YES
162	0.85	YES
163	0.82	YES
164	0.82	YES
165	0.74	YES
166	0.82	YES
167	0.91	YES
168	0.82	YES
169	0.81	YES
170	0.80	YES
171	0.85	YES
172	0.78	YES
173	0.85	YES
174	0.92	YES
175	0.86	YES
176	0.76	YES
177	0.89	YES
178	0.92	YES
179	0.94	YES
180	0.74	YES
181	0.90	YES
182	0.89	YES
183	0.86	YES
184	0.85	YES
185	0.76	YES
186	0.86	YES
187	0.91	YES
188	0.88	YES
189	0.88	YES
190	0.81	YES
191	0.90	YES
192	0.80	YES
193	0.82	YES
194	0.94	YES
195	0.77	YES
196	0.81	YES
197	0.91	YES
198	0.88	YES
199	0.84	YES
200	0.85	YES
201	0.87	YES
202	0.84	YES
203	0.87	YES
204	0.86	YES
205	0.85	YES
206	0.87	YES
207	0.85	YES
208	0.90	YES
209	0.88	YES
210	0.84	YES
211	0.87	YES
212	0.87	YES
213	0.86	YES
214	0.76	YES
215	0.85	YES
216	0.91	YES
217	0.88	YES
218	0.87	YES
219	0.89	YES
220	0.86	YES
221	0.85	YES
222	0.84	YES
223	0.77	YES
224	0.82	YES
225	0.86	YES
226	0.91	YES
227	0.92	YES
228	0.91	YES
229	0.88	YES
230	0.89	YES
231	0.83	YES
232	0.77	YES
233	0.90	YES
234	0.93	YES
235	0.88	YES
236	0.86	YES
237	0.85	YES
238	0.84	YES
239	0.92	YES
240	0.86	YES
241	0.84	YES
242	0.78	YES
243	0.84	YES
244	0.79	YES
245	0.86	YES
246	0.80	YES
247	0.70	YES
248	0.91	YES
249	0.88	YES
250	0.89	YES
251	0.84	YES
252	0.80	YES
253	0.87	YES
254	0.93	YES
255	0.84	YES
256	0.74	YES
257	0.75	YES
258	0.87	YES
259	0.85	YES
260	0.89	YES
261	0.93	YES
262	0.81	YES
263	0.86	YES
264	0.88	YES
265	0.85	YES
266	0.86	YES
267	0.82	YES
268	0.92	YES
269	0.84	YES
270	0.87	YES
271	0.74	YES
272	0.88	YES
273	0.91	YES
274	0.81	YES
275	0.88	YES
276	0.85	YES
277	0.89	YES
278	0.88	YES
279	0.93	YES
280	0.92	YES
281	0.87	YES
282	0.77	YES
283	0.89	YES
284	0.91	YES
285	0.90	YES
286	0.82	YES
287	0.85	YES
288	0.84	YES
289	0.91	YES
290	0.86	YES
291	0.89	YES
292	0.86	YES
293	0.65	NO
294	0.92	YES
295	0.84	YES
296	0.96	YES
297	0.86	YES
298	0.89	YES
299	0.86	YES
300	0.87	YES
301	0.76	YES
302	0.93	YES
303	0.86	YES
304	0.84	YES
305	0.81	YES
306	0.92	YES
307	0.76	YES
308	0.88	YES
309	0.89	YES
310	0.89	YES
311	0.72	YES
312	0.83	YES
313	0.83	YES
314	0.89	YES
315	0.91	YES
316	0.91	YES
317	0.86	YES
318	0.91	YES
319	0.74	YES
320	0.93	YES
321	0.75	YES
322	0.94	YES
323	0.90	YES
324	0.77	YES
325	0.86	YES
326	0.83	YES
327	0.84	YES
328	0.59	NO
329	0.85	YES
330	0.84	YES
331	0.83	YES
332	0.85	YES
333	0.87	YES
334	0.88	YES
335	0.80	YES
336	0.84	YES
337	0.89	YES
338	0.89	YES
339	0.93	YES
340	0.84	YES
341	0.85	YES
342	0.89	YES
343	0.88	YES
344	0.84	YES
345	0.87	YES
346	0.80	YES
347	0.86	YES
348	0.77	YES
349	0.83	YES
350	0.85	YES
351	0.82	YES
352	0.86	YES
353	0.93	YES
354	0.76	YES
355	0.71	YES
356	0.86	YES
357	0.84	YES
358	0.92	YES
359	0.90	YES
360	0.90	YES
361	0.82	YES
362	0.90	YES
363	0.92	YES
364	0.87	YES
365	0.91	YES
366	0.84	YES
367	0.82	YES
368	0.84	YES
369	0.85	YES
370	0.71	YES
371	0.89	YES
372	0.90	YES
373	0.88	YES
374	0.85	YES
375	0.82	YES
376	0.83	YES
377	0.77	YES
378	0.74	YES
379	0.83	YES
380	0.91	YES
381	0.89	YES
382	0.87	YES
383	0.89	YES
384	0.89	YES
385	0.88	YES
386	0.88	YES
387	0.85	YES
388	0.87	YES
389	0.86	YES
390	0.90	YES
391	0.88	YES
392	0.94	YES
393	0.90	YES
394	0.86	YES
395	0.93	YES
396	0.89	YES
397	0.91	YES
398	0.80	YES
399	0.89	YES
400	0.85	YES
401	0.91	YES
402	0.85	YES
